tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face,,
1,1,1,1,1,0,-0.49,-0.62,0.75,-50109.81,-26466.27,-4695.78,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.35,-0.04,0.57,68518.33,7835.85,-3118.59,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.03,-0.36,0.71,-78184.29,49026.54,63259.43,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.23,0.09,0.93,29518.05,-18539.75,-9260.33,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.06,0.03,0.87,-5340.02,5872.11,3056.55,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.06,0.08,0.87,575.04,1581.96,1541.4,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.09,0.08,0.9,-439.04,534.48,799.33,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.08,0.11,0.87,-875.69,975.9,343.59,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.11,0.1,0.9,3154.38,-405.63,-1577.19,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.1,0.11,0.89,164.64,341.21,128.85,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.11,0.1,0.9,1951.8,1345.74,-787.4,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.08,0.12,0.88,2591.27,617.99,-882.85,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.12,0.1,0.9,2068.72,-295.87,450.97,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.1,0.11,0.89,2672.4,832.74,-1147.7,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.11,0.1,0.89,2369.37,-171.8,176.57,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.14,0.09,0.89,1190.65,1040.33,-262.47,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.1,0.14,0.86,3982.35,-155.09,190.89,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.08,0.11,0.89,3154.38,489.14,-169.41,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.07,-0.15,0.79,63478.95,2359.82,-42245.33,6,,
,,,,,,,,,,,,,,
1,0,1,1,0,0,0.45,-0.84,0.81,-40656.21,18129.34,37656.93,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.83,0.36,0.73,14574.1,2953.95,3982.35,0,,
,,,,,,,,,,,,,,
1,0,1,1,1,0,-0.04,-0.95,0.77,20644.26,-58840.44,-62331.25,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.62,0.08,0.48,-78184.29,17885.96,46323.12,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.25,-0.18,0.65,58086.44,27845.41,-40276.83,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.67,0.36,0.55,-78184.29,-52307.38,9799.58,0,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.54,0.46,0.48,78186.68,-35256.54,-8482.47,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.01,-0.78,0.78,-5972.33,70687.27,52791.75,6,,
,,,,,,,,,,,,,,
